07:43:26.861303 config: drop-rate=0.20, max-delay=100ms, seed=2387230234324
07:49:27.675075 [queue=2] packet #18, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 53ms
07:49:27.676073 [queue=1] packet #15, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:27.729190 [queue=0] packet #18, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:27.843246 [queue=1] packet #25, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 80ms
07:49:27.924732 [queue=0] packet #25, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:27.945362 [queue=1] packet #25, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 42ms
07:49:27.987881 [queue=0] packet #25, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:32.647616 [queue=1] packet #16, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 41ms
07:49:32.649612 [queue=2] packet #19, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 26ms
07:49:32.686700 [queue=1] packet #19, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:32.689706 [queue=0] packet #16, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:32.724613 [queue=1] packet #19, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 63ms
07:49:32.739639 [queue=2] packet #16, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 38ms
07:49:32.778881 [queue=1] packet #16, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:32.789110 [queue=0] packet #19, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:32.800459 [queue=1] packet #26, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delayed for 45ms
07:49:32.800459 [queue=1] packet #27, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=3 is dropped
07:49:32.804447 [queue=2] packet #28, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delayed for 35ms
07:49:32.842975 [queue=1] packet #28, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=0 is delivered
07:49:32.845978 [queue=0] packet #26, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=10 is delivered
07:49:32.862214 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 92ms
07:49:32.888025 [queue=2] packet #26, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 42ms
07:49:32.931083 [queue=1] packet #26, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:32.954423 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:37.725666 [queue=1] packet #27, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=3 is delayed for 98ms
07:49:37.825155 [queue=0] packet #27, 127.0.0.1:59790 -> 127.0.0.1:59789, sz=3 is delivered
07:49:37.860416 [queue=1] packet #27, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 45ms
07:49:37.870193 [queue=2] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 37ms
07:49:37.906894 [queue=1] packet #27, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:37.907906 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:39.870389 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 73ms
07:49:39.945048 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:41.870811 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 59ms
07:49:41.931584 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:43.871319 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 58ms
07:49:43.931399 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:45.871823 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 23ms
07:49:45.896254 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:47.872257 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 64ms
07:49:47.937768 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:49.872904 [queue=1] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delayed for 61ms
07:49:49.934722 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is delivered
07:49:51.873482 [queue=0] packet #28, 127.0.0.1:59789 -> 127.0.0.1:59790, sz=0 is dropped
07:55:23.764785 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 26ms
07:55:23.792124 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:26.766709 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is dropped
07:55:29.768681 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 61ms
07:55:29.830939 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:32.770226 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 60ms
07:55:32.831270 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:35.772357 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 23ms
07:55:35.796872 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:38.773967 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 10ms
07:55:38.784089 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:41.776382 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 42ms
07:55:41.819500 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:44.777925 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 17ms
07:55:44.795266 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:47.780340 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 22ms
07:55:47.803560 [queue=0] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delivered
07:55:50.781721 [queue=1] packet #0, 127.0.0.1:50227 -> 34.195.201.244:80, sz=0 is delayed for 51ms
